Metrica,k,Accuracy,Precision,Recall,F1_Score,Tiempo_ms
Euclidiana,1,0.89,0.8918,0.8895,0.89,686.32
Euclidiana,3,0.935,0.9367,0.935,0.9355,652.73
Euclidiana,5,0.93,0.9318,0.93,0.9306,631.75
Euclidiana,7,0.935,0.9361,0.9352,0.9355,630.84
Euclidiana,9,0.935,0.9361,0.9352,0.9355,631.43
Manhattan,1,0.895,0.8981,0.8941,0.8947,598.64
Manhattan,3,0.94,0.9417,0.9402,0.9406,626.48
Manhattan,5,0.935,0.9367,0.935,0.9355,676.91
Manhattan,7,0.94,0.941,0.9402,0.9405,709.86
Manhattan,9,0.94,0.941,0.9402,0.9405,658.98
Minkowski,1,0.885,0.8868,0.8845,0.8851,978.07
Minkowski,3,0.925,0.9273,0.9247,0.9255,1059.76
Minkowski,5,0.93,0.9318,0.93,0.9306,1020.44
Minkowski,7,0.935,0.9361,0.9352,0.9355,1349.74
Minkowski,9,0.935,0.9361,0.9352,0.9355,810.93
Mahalanobis,1,0.9,0.9009,0.9003,0.9003,570.44
Mahalanobis,3,0.935,0.9364,0.9352,0.9356,563.51
Mahalanobis,5,0.935,0.9362,0.9352,0.9356,560.3
Mahalanobis,7,0.945,0.9459,0.9454,0.9455,566.71
Mahalanobis,9,0.945,0.9459,0.9454,0.9455,561.86
